"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.1538,1,150.02,20.02,0,25.9
1.1529,1,150.28,20.28,0,25.9
1.152,1,150.54,20.54,0,25.9
1.152,1,150.8,20.8,0,25.9
1.1518,1,151.06,21.06,0,25.9
1.1513,1,151.32,21.32,0,25.9
1.1506,1,151.58,21.58,0,25.9
1.1497,1,151.84,21.84,0,25.9
1.1489,1,152.1,22.1,0,25.9
1.1481,1,152.36,22.36,0,25.9
1.1473,1,152.62,22.62,0,25.9
1.1465,1,152.88,22.88,0,25.9
1.1457,1,153.14,23.14,0,25.9
1.1449,1,153.4,23.4,0,25.9
1.144,1,153.66,23.66,0,25.9
1.1432,1,153.92,23.92,0,25.9
1.1424,1,154.18,24.18,0,25.9
1.1416,1,154.44,24.44,0,25.9
1.1408,1,154.7,24.7,0,25.9
1.14,1,154.96,24.96,0,25.9
1.1392,1,155.22,25.22,0,25.9
1.1387,1,155.48,25.48,0,25.9
1.1382,1,155.74,25.74,0,25.9
1.1378,1,156,26,0,25.9
1.1373,1,156.26,26.26,0,25.9
1.1369,1,156.52,26.52,0,25.9
1.1364,1,156.78,26.78,0,25.9
1.136,1,157.04,27.04,0,25.9
1.1356,1,157.3,27.3,0,25.9
1.1351,1,157.56,27.56,0,25.9
1.1347,1,157.82,27.82,0,25.9
1.1345,1,158.08,28.08,0,25.9
1.1342,1,158.34,28.34,0,25.9
1.1339,1,158.6,28.6,0,25.9
1.1336,1,158.86,28.86,0,25.9
1.1333,1,159.12,29.12,0,25.9
1.133,1,159.38,29.38,0,25.9
1.1327,1,159.64,29.64,0,25.9
1.1324,1,159.9,29.9,0,25.9
1.1321,1,160.16,30.16,0,25.9
1.1318,1,160.42,30.42,0,25.9
1.1315,1,160.68,30.68,0,25.9
1.1312,1,160.94,30.94,0,25.9
1.1309,1,161.2,31.2,0,25.9
1.1306,1,161.46,31.46,0,25.9
1.1303,1,161.72,31.72,0,25.9
1.13,1,161.98,31.98,0,25.9
1.1298,1,162.24,32.24,0,25.9
1.1297,1,162.5,32.5,0,25.9
1.1295,1,162.76,32.76,0,25.9
1.1293,1,163.02,33.02,0,25.9
1.1292,1,163.28,33.28,0,25.9
1.129,1,163.54,33.54,0,25.9
1.1289,1,163.8,33.8,0,25.9
1.1287,1,164.06,34.06,0,25.9
